Nome medicinale,Codice AIC,Principio attivo,Forma farmaceutica e dosaggio,Titolare AIC,Data inizio,Fine presunta,Equivalente,Motivazioni,Suggerimenti/Indicazioni AIFA,Nota AIFA,Classe di rimborsabilit�,Codice ATC,cleaned_atc,PRK
ACIDO URSODESOSSICOLICO EG STADA,24615080,ACIDO URSODESOSSICOLICO,"""300 MG COMPRESSE""20 COMPRESSE",EG S.P.A.,01/09/2020,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A05AA02,A05AA02,18384
ACIDO URSODESOSSICOLICO EG STADA,24615092,ACIDO URSODESOSSICOLICO,"""450 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 20 CAPSULE",EG S.P.A.,30/04/2015,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A05AA02,A05AA02,
ACIDO URSODESOSSICOLICO EG STADA,24615078,ACIDO URSODESOSSICOLICO,"""150 MG COMPRESSE""20 COMPRESSE",EG S.P.A.,01/04/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A05AA02,A05AA02,7943
ACIDO URSODESOSSICOLICO MYLAN GENERICS,33094020,ACIDO URSODESOSSICOLICO,"""300 MG COMPRESSE"" 20 COMPRESSE",MYLAN S.P.A.,04/12/2024,,S�,Elevata richiesta,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A05AA02,A05AA02,18384
ACIDO VALPROICO SANDOZ,36334011,ACIDO VALPROICO + SODIO VALPROATO,"""300 MG COMPRESSE A RILASCIO PROLUNGATO""30 COMPRESSE",SANDOZ S.P.A.,06/06/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N03AG01,N03AG01,29882
ACIDO ZOLEDRONICO FRESENIUS KABI,42277018,ACIDO ZOLEDRONICO,""" 4 MG/5 ML CONCENTRATO PER SOLUZIONE PER INFUSIONE "" 1 FLACONCINO IN PLASTICA",FRESENIUS KABI ITALIA S.R.L.,18/02/2024,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,M05BA08,M05BA08,74888
ACIDO ZOLEDRONICO HOSPIRA,42486035,ACIDO ZOLEDRONICO,4MG/100 ML - SOLUZIONE PER INFUSIONE-USO ENDOVENOSO-SACCA (PP/PP)- 4MG/100ML -1 SACCA,PFIZER EUROPE MA EEIG,21/12/2016,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,M05BA08,M05BA08,113336
ACIDO ZOLEDRONICO HOSPIRA,42486023,ACIDO ZOLEDRONICO,4MG/5 ML CONCENTRATO PER SOLUZIONE PER INFUSIONE-USO ENDOVENOSO-FLACONCINO (PLASTICA)- 4MG/5ML-1 FLACONCINO,PFIZER EUROPE MA EEIG,04/01/2017,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,M05BA08,M05BA08,74888
ACIDO ZOLEDRONICO MEDAC,42333043,ACIDO ZOLEDRONICO,"""4 MG/100 ML - SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONE (VETRO) - 100 ML"" 1 FLACONE",MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH,01/09/2020,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,M05BA08,M05BA08,98795
ACIDO ZOLEDRONICO MEDAC,42333017,ACIDO ZOLEDRONICO,"""4 MG/5 ML - CONCENTRATO PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONCINO (PLASTICA) - 5 ML"" 1 FLACONCINO",MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH,01/09/2020,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,M05BA08,M05BA08,74888
ACIDO ZOLEDRONICO TEVA,42230045,ACIDO ZOLEDRONICO,"""4 MG/5 ML - CONCENTRATO PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONCINO (VETRO) - 5 ML"" 1 FLACONCINO",TEVA B.V.,01/06/2016,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A CARICO DEL SSN AMBITO OSPED.,M05BA08,M05BA08,74888
ACLATON,44236418,PREGABALIN,"""75 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/AL",NEURAXPHARM ITALY S.P.A.,01/11/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02BF02,N02BF02,75701
ACLATON,44236444,PREGABALIN,"""75 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL",NEURAXPHARM ITALY S.P.A.,01/11/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02BF02,N02BF02,75701
ACLATON,44236661,PREGABALIN,"""150 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/AL",NEURAXPHARM ITALY S.P.A.,01/04/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02BF02,N02BF02,75728
ACLATON,44236697,PREGABALIN,"""150 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL",NEURAXPHARM ITALY S.P.A.,01/04/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02BF02,N02BF02,75728
ACLATON,44236014,PREGABALIN,"""25 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/AL",NEURAXPHARM ITALY S.P.A.,01/03/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02BF02,N02BF02,75698
ACQUA PER PREPARAZIONI INIETTABILI B. BRAUN,30898124,ACQUA PER PREPARAZIONI INIETTABILI,""" SOLVENTE PER USO PARENTERALE "" 10 FLACONCINI 500 ML",B. BRAUN MELSUNGEN AG,08/03/2024,30/06/2025,S�,Elevata richiesta: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,V07AB,V07AB,
ACQUA PER PREPARAZIONI INIETTABILI BAXTER,30906465,ACQUA PER PREPARAZIONI INIETTABILI,"""SOLUZIONE PER USO PARENTERALE"" 10 SACCHE VIAFLO 1000 ML",BAXTER S.P.A.,24/10/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,V07AB,V07AB,
ACQUA PER PREPARAZIONI INIETTABILI FKI,30757025,ACQUA PER PREPARAZIONI INIETTABILI,"""SOLVENTE PER USO PARENTERALE"" 1 FLACONCINO DA 100 ML",FRESENIUS KABI ITALIA S.R.L.,31/12/2023,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,V07AB,V07AB,
ACQUA PER PREPARAZIONI INIETTABILI FKI,30757037,ACQUA PER PREPARAZIONI INIETTABILI,FLACONE 250 ML,FRESENIUS KABI ITALIA S.R.L.,01/12/2022,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,V07AB,V07AB,
ACQUA PER PREPARAZIONI INIETTABILI MONICO,30779159,ACQUA PER PREPARAZIONI INIETTABILI,SACCA 3000 ML,MONICO S.P.A.,01/08/2024,31/12/2024,S�,Problemi produttivi: forniture discontinue,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,V07AB,V07AB,
ACTIGRIP,24823066,PARACETAMOLO + PSEUDOEFEDRINA CLORIDRATO + TRIPROLIDINA CLORIDRATO,"�2,5 mg/60  mg/300  mg  compresse�  12 compresse in blister AL/PVC/PVDC",JOHNSON & JOHNSON S.P.A.,06/03/2019,,No,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R01BA52,R01BA52,
ACTIQ,35399056,FENTANIL,"""400 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 3 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET",TEVA ITALIA S.R.L.,30/04/2020,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,"- cessata commercializzazione per il canale retail a partire dal 30/04/2020
- cessata commercializzazione per il canale ospedaliero a partire dal 09/04/2021",A TOTALE CARICO DEL SSN.,N02AB03,N02AB03,84670
ACTIQ,35399094,FENTANIL,"""600 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 3 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET",TEVA ITALIA S.R.L.,13/08/2020,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,"- cessata commercializzazione per il canale retail a partire dal 13/08/2020
- cessata commercializzazione per il canale ospedaliero a partire dal 28/02/2021",A TOTALE CARICO DEL SSN.,N02AB03,N02AB03,84689
ACTIQ,35399132,FENTANIL,"""800 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 3 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET",TEVA ITALIA S.R.L.,31/08/2021,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02AB03,N02AB03,84697
ACTIQ,35399171,FENTANIL,3 PASTIGLIE OROSOLUBILI PER MUCOSA ORALE CON APPLICATORE INCORPORATO DA 1200 MCG,TEVA ITALIA S.R.L.,31/05/2021,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02AB03,N02AB03,
ACTIQ,35399219,FENTANIL,3 PASTIGLIE OROSOLUBILI PER MUCOSA ORALE CON APPLICATORE INCORPORATO DA 1600 MCG,TEVA ITALIA S.R.L.,31/08/2021,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02AB03,N02AB03,
ACTIQ,35399017,FENTANIL,"""200 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 3 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET",TEVA ITALIA S.R.L.,15/07/2020,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,"- cessata commercializzazione per il canale retail a partire dal 15/07/2020
- cessata commercializzazione per il canale ospedaliero a partire dal 12/12/2020",A TOTALE CARICO DEL SSN.,N02AB03,N02AB03,84662
ACTIQ,35399233,FENTANIL,15 PASTIGLIE OROSOLUBILI PER MUCOSA ORALE CON APPLICATORE INCORPORATO DA 1600 MCG,TEVA ITALIA S.R.L.,31/01/2025,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,Le confezioni distribuite a gennaio 2025 avranno validit� ridotta (scadenza: 30/06/2025); da febbraio 2025 sar� disponibile la confezione sostitutiva AIC 035399474,A TOTALE CARICO DEL SSN.,N02AB03,N02AB03,
ACTIQ,35399031,FENTANIL,"""200 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO""15 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET",TEVA ITALIA S.R.L.,31/05/2025,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02AB03,N02AB03,84662
ACTIQ,35399195,FENTANIL,15 PASTIGLIE OROSOLUBILI PER MUCOSA ORALE CON APPLICATORE INCORPORATO DA 1200 MCG,TEVA ITALIA S.R.L.,30/04/2025,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N02AB03,N02AB03,
ACTONEL,34568067,RISEDRONATO SODICO,"""30 MG COMPRESSE RIVESTITE  CON FILM"" 14 COMPRESSE IN BLISTER",THERAMEX IRELAND LIMITED,31/03/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,M05BA07,M05BA07,58181
ACTUALENE,33359035,CABERGOLINA,"""0,5 MG COMPRESSE"" 8 COMPRESSE",PFIZER ITALIA S.R.L.,30/06/2025,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,G02CB03,G02CB03,37206
ACURMIL,35348022,ATRACURIO BESILATO,""" 50 MG/5 ML SOLUZIONE INIETTABILE "" 5 FIALE",LABORATORIO ITALIANO BIOCHIMICO FARMACEUTICO LISAPHARMA S.P.A.,29/03/2019,,S�,Cessata commercializzazione temporanea,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DELL'ASSISTITO,M03AC04,M03AC04,27359
ADALAT CRONO,27980022,NIFEDIPINA,"""60 MG COMPRESSE A RILASCIO MODIFICATO"" 14 COMPRESSE",BAYER S.P.A.,22/09/2020,,S�,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,C08CA05,C08CA05,33707
ADALAT CRONO,27980034,NIFEDIPINA,"""20 MG COMPRESSE A RILASCIO MODIFICATO"" 14 COMPRESSE",BAYER S.P.A.,18/08/2020,,No,Cessata commercializzazione definitiva,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,C08CA05,C08CA05,43087
ADEMPAS,43333119,RIOCIGUAT,2 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER  (PP/ALU) - 84 COMPRESSE,BAYER AG,04/08/2022,01/01/2027,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C02KX05,C02KX05,124680
ADEMPAS,43333145,RIOCIGUAT,"2,5 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER  (PP/ALU) - 84 COMPRESSE",BAYER AG,23/08/2022,01/01/2027,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C02KX05,C02KX05,124699
ADEMPAS,43333083,RIOCIGUAT,"1,5 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE -BLISTER  (PP/ALU)  - 84 COMPRESSE",BAYER AG,22/07/2022,01/01/2027,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C02KX05,C02KX05,124664
ADEMPAS,43333057,RIOCIGUAT,1 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER  (PP/ALU)  - 84 COMPRESSE,BAYER AG,24/11/2022,01/01/2027,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C02KX05,C02KX05,124672
ADENOSINA AHCL,44325013,ADENOSINA,"""30 MG/10 ML SOLUZIONE PER INFUSIONE"" 6 FLACONCINI IN VETRO DA 10 ML","ACCORD HEALTHCARE, S.L.U.",28/05/2021,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,C01EB10,C01EB10,
ADENOSINA KABI,43979095,ADENOSINA,"""3 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 10 SIRINGHE DA 3MG/1ML",FRESENIUS KABI ITALIA S.R.L.,22/03/2021,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,C01EB10,C01EB10,
ADENOSINA KABI,43979069,ADENOSINA,"""3 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 10 SIRINGHE DA 12MG/4ML",FRESENIUS KABI ITALIA S.R.L.,22/03/2021,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,C01EB10,C01EB10,
ADENOSINA KABI,43979032,ADENOSINA,"""3 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 10 SIRINGHE DA 6MG/2ML",FRESENIUS KABI ITALIA S.R.L.,22/05/2024,,No,Problemi produttivi,"Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso",,A TOTALE CARICO DELL'ASSISTITO,C01EB10,C01EB10,
ADISTEROLO,1738020,COLECALCIFEROLO + VITAMINA A ACETATO,"""300.000 UI/ML + 20.000 UI/ML SOLUZIONE ORALE E INIETTABILE PER USO INTRAMUSCOLARE"" 2 FIALE DA 1 ML",ABIOGEN PHARMA S.P.A.,10/02/2021,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A11CB,A11CB,
ADISTEROLO,1738057,COLECALCIFEROLO + VITAMINA A ACETATO,"""10.000 UI/ML + 10.000 UI/ML GOCCE ORALI, SOLUZIONE"" FLACONE DA 10 ML",ABIOGEN PHARMA S.P.A.,23/02/2022,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A11CB,A11CB,
ADISTEROLO,1738119,COLECALCIFEROLO + VITAMINA A ACETATO,"""100.000 UI/ML + 20.000 UI/ML SOLUZIONE ORALE E INIETTABILE PER USO INTRAMUSCOLARE"" 6 FIALE DA 1 ML",ABIOGEN PHARMA S.P.A.,26/04/2022,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,A11CB,A11CB,
ADRENALINA S.A.L.F.,30650016,EPINEFRINA,"""0,5 MG/ML SOLUZIONE INIETTABILE"" 5 FIALE DA 1 ML",S.A.L.F. SPA  LABORATORIO FARMACOLOGICO,01/02/2024,31/12/2025,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,C01CA24,C01CA24,
ADVANTAN,28159046,METILPREDNISOLONE ACEPONATO,""" O,1% SOLUZIONE CUTANEA"" FLACONE DA 20 ML",LEO PHARMA A/S,19/06/2024,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,D07AC14,D07AC14,
AERIUS,35201401,DESLORATADINA,"""2,5 MG COMPRESSA ORODISPERSIBILE - USO ORALE"" BLISTER PVC/OPA/ALU) 18 COMPRESSE",N.V. ORGANON,11/07/2016,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R06AX27,R06AX27,85499
AERIUS,35201425,DESLORATADINA,"""2,5 MG COMPRESSA ORODISPERSIBILE - USO ORALE"" BLISTER PVC/OPA/ALU) 30 COMPRESSE",N.V. ORGANON,13/04/2020,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,R06AX27,R06AX27,85499
AFSTYLA,45255015,LONOCTOGOC ALFA,"250 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO); SOLVENTE: FLACONCINO (VETRO) - POLVERE: 250 UI + SOLVENTE: 2,5 ML (100 UI/ML) - 1 FLACONCINO + 1 FLACONCINO + 1 DISPOSITIVO DI TRASFERIMENTO CON FILTRO + 1 SIRINGA + 1 SET PER L''INIEZIONE IN VENA + 2 TAMPONI + 1 CEROTTO",CSL BEHRING GMBH,10/11/2020,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,B02BD02,B02BD02,139254
AGNUCASTON,49563012,N.D.,"""20 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER PVC/PVDC/AL",BIONORICA SE,01/04/2025,,No,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,G02CX03,G02CX03,
AIROL,23244015,TRETINOINA,"""0,5 MG/G CREMA"" TUBO DA 20 G",PIERRE FABRE ITALIA S.P.A.,30/09/2019,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,D10AD01,D10AD01,3107
AIROL,23244027,TRETINOINA,"""0,5 MG/ML SOLUZIONE CUTANEA"" FLACONE DA 50 ML",PIERRE FABRE ITALIA S.P.A.,02/11/2022,,No,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DELL'ASSISTITO,D10AD01,D10AD01,13722
AKIRAB,41984030,RABEPRAZOLO SODICO,"""10 MG COMPRESSE GASTRORESISTENTI"" 28 COMPRESSE IN BLISTER AL-OPA-PVC/AL",SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI,01/05/2023,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC04,A02BC04,54860
AKIRAB,41984016,RABEPRAZOLO SODICO,"""10 MG COMPRESSE GASTRORESISTENTI"" 14 COMPRESSE IN BLISTER AL-OPA-PVC/AL",SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI,01/05/2023,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC04,A02BC04,54860
AKIRAB,41984042,RABEPRAZOLO SODICO,"""20 MG COMPRESSE GASTRORESISTENTI"" 28 COMPRESSE IN BLISTER AL-OPA-PVC/AL",SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI,02/11/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC04,A02BC04,54879
ALABASTER,37776010,BECLOMETASONE DIPROPIONATO ANIDRO + FORMOTEROLO FUMARATO DIIDRATO,"""100/6  microgrammi  per  erogazione soluzione pressurizzata per inalazione� 1 contenitore sotto pressione al da 120 erogazioni;",MASTER PHARMA S.R.L.,11/10/2021,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,R03AK08,R03AK08,84778
ALBAFLO,41354010,BETAMETASONE,"""1,5 MG/2 ML SOLUZIONE INIETTABILE"" 6 FIALE DA 2 ML",ESSETI FARMACEUTICI S.R.L.,01/06/2024,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,H02AB01,H02AB01,
ALBAFLO,41354022,BETAMETASONE,"""4 MG/2 ML SOLUZIONE INIETTABILE"" 3 FIALE DA 2 ML",ESSETI FARMACEUTICI S.R.L.,01/06/2024,,S�,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,H02AB01,H02AB01,
ALBIOMIN,39073034,ALBUMINA UMANA,""" 20% (200G/L) SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 100 ML",BIOTEST PHARMA GMBH,15/03/2022,31/12/2024,No,Cessata commercializzazione temporanea,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DEL SSN.,B05AA01,B05AA01,24082
ALBIOMIN,39073010,ALBUMINA UMANA,"""5% (50G/L), SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 250 ML",BIOTEST PHARMA GMBH,14/03/2022,31/12/2024,S�,Cessata commercializzazione temporanea,Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero,,A TOTALE CARICO DELL'ASSISTITO,B05AA01,B05AA01,69663
