Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilit�;Codice ATC
ABIMONO;025358045;ISOCONAZOLO NITRATO;"""1% CREMA VAGINALE"" 1 TUBO DA 30 G + 6 APPLICATORI MONOUSO";FARMITALIA INDUSTRIA CHIMICO FARMACEUTICA S.R.L.;01/02/2019;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G01AF07
ABIOCLAV;037350028;ACIDO CLAVULANICO + AMOXICILLINA;""" 400 MG + 57 MG/5 ML POLVERE PER SOSPENSIONE ORALE "" FLACONE DA 70 ML CON CUCCHIAIO DOSATORE";AESCULAPIUS FARMACEUTICI SRL;15/12/2023;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01CR02
ABIOCLAV;037350016;ACIDO CLAVULANICO + AMOXICILLINA;""" 875 MG + 125 MG COMPRESSE RIVESTITE CON FILM "" 12 COMPRESSE IN BLISTER AL/PE";AESCULAPIUS FARMACEUTICI SRL;01/01/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01CR02
ABIRATERONE EG;049475344;ABIRATERONE ACETATO;"""500 MG COMPRESSE RIVESTITE CON FILM"" 56X1 COMPRESSE IN BLISTER DIVISIBILE PER DOSE UNITARIA AL-PVC/PE/PVDC";EG S.P.A.;26/01/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIRATERONE MYLAN;049686052;ABIRATERONE ACETATO;500 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER (ALU-PVC/PE/PVDC) - 56 COMPRESSE;MYLAN PHARMACEUTICALS LIMITED;30/06/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIRATERONE QILU;050048038;ABIRATERONE;"""500 MG COMPRESSE RIVESTITE CON FILM"" 14x4 COMPRESSE IN BLISTER PVC/AL DIVISIBILE PER DOSE UNITARIA";QILU PHARMA SPAIN S.L.;18/06/2024;;S�;Problemi produttivi;Rilasciata determinazione per l�importazione al titolare A.I.C.;Confezioni importate dal Titolare AIC a seguito di rilascio determinazione disponibili dal 12.08.2024;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIRATERONE SANDOZ;048401261;ABIRATERONE ACETATO;"""500 MG COMPRESSE RIVESTITE CON FILM""  56 COMPRESSE IN BLISTER AL/PVC/PE/PVDC";SANDOZ S.P.A.;01/01/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIRATERONE SUN;050293012;ABIRATERONE ACETATO;"""500 mg COMPRESSE RIVESTITE CON FILM"" 56 COMPRESSE IN BLISTER PVDC/PE/PVC/AL";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;20/03/2025;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIRATERONE ZENTIVA;049755010;ABIRATERONE ACETATO;"""500 mg compresse rivestite con film"" 56 compresse in blister PVC/PVDC/AL";ZENTIVA ITALIA S.R.L.;16/09/2024;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L02BX03
ABIS;038038016;AMLODIPINA BESILATO;""" 5 MG COMPRESSE "" 28 COMPRESSE";A.G.I.P.S. FARMACEUTICI SRL;15/11/2024;27/01/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C08CA01
ABIS;038038028;AMLODIPINA BESILATO;""" 10 MG COMPRESSE "" 14 COMPRESSE";A.G.I.P.S. FARMACEUTICI SRL;15/11/2024;27/01/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C08CA01
ABRIFF;042292019;FLUTICASONE PROPIONATO + FORMOTEROLO FUMARATO DIIDRATO;"""50 MICROGRAMMI/5 MICROGRAMMI PER EROGAZIONE, SOSPENSIONE PRESSURIZZATA PER INALAZIONE"" 120 EROGAZIONI PER INALATORE";MUNDIPHARMA PHARMACEUTICALS S.R.L.;16/12/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;R03AK11
ACARPHAGE;038835144;ACARBOSIO;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";BRUNO FARMACEUTICI S.P.A.;15/07/2024;;S�;Elevata richiesta/problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BF01
ACARPHAGE;038835043;ACARBOSIO;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";BRUNO FARMACEUTICI S.P.A.;15/07/2024;;S�;Elevata richiesta/problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BF01
ACC FLUIDIFICANTE E ANTIDOTO;032819031;ACETILCISTEINA;"""300 MG/3 ML SOLUZIONE INIETTABILE, DA NEBULIZZARE E PER INSTILLAZIONE ENDOTRACHEOBRONCHIALE"" 5 FIALE DA 3 ML";SANDOZ S.P.A.;20/05/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB01
ACCARIZAX;043755038;Estratto di allergeni di acari della polvere domestica-Dermatophagoides farinae + Estratto di allergeni di acari della polvere domestica-Dermatophagoides pteronyssinus;"""12 SQ-HDM LIOFILIZZATO sublinguale"" 90 LIOFILIZZATI ORALI IN BLISTER AL/AL";ALK-ABELL� A/S;15/05/2020;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V01AA03
ACCOFIL;043615119;FILGRASTIM;48 MU/0,5 ML SOLUZIONE PER INIEZIONE/INFUSIONE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO)  CON AGO DI SICUREZZA 0,5ML -1 SIRINGA PRERIEMPITA;ACCORD HEALTHCARE, S.L.U.;08/05/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L03AA02
ACCOFIL;043615057;FILGRASTIM;30 MU/0,5 ML SOLUZIONE PER INIEZIONE/INFUSIONE - USO SOTTOCUTANEO O ENDOVENOSO - SIRINGA PRERIEMPITA (VETRO) CON AGO DI SICUREZZA 0,5ML -1 SIRINGA PRERIEMPITA;ACCORD HEALTHCARE, S.L.U.;12/12/2022;;S�;Ridotta disponibilit�: distribuzione contingentata;Rilasciata determinazione per l�importazione al titolare A.I.C.;Confezioni importate a seguito di rilascio determina disponibili presso i magazzini del Titolare dal 15.11.2024;A TOTALE CARICO DEL SSN.;L03AA02
ACECLOFENAC EG;043259035;ACECLOFENAC;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE IN BLISTER AL/AL";EG S.P.A.;01/03/2025;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M01AB16
ACETILCISTEINA EG;034821052;ACETILCISTEINA;"""300 MG/3 ML SOLUZIONE INIETTABILE E DA NEBULIZZARE"" 10 FIALE DA 3 ML";EG S.P.A.;20/02/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB01
ACETILCISTEINA EG;034821037;ACETILCISTEINA;"""300 MG/3 ML SOLUZIONE INIETTABILE E DA NEBULIZZARE"" 5 FIALE";EG S.P.A.;31/12/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB01
ACETILCISTEINA HEXAL AG;043351143;ACETILCISTEINA;�600  mg  compresse  effervescenti�  30 compresse in tubo PP;HEXAL AG;18/06/2021;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB01
ACETILCISTEINA HEXAL AG;043351131;ACETILCISTEINA;�600  mg  compresse  effervescenti�  20 compresse in tubo PP;HEXAL AG;21/01/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB01
ACETILCISTEINA ZENTIVA LAB;047378017;ACETYLCYSTEINE;"""600 MG COMPRESSE EFFERVESCENTI"" 30 COMPRESSE IN TUBO PP";ZENTIVA ITALIA S.R.L.;19/12/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05CB01
ACICLINLABIALE;039105022;ACICLOVIR;"""50 MG/G MATITA CUTANEA"" APPLICATORE DA 2,5 G";FIDIA FARMACEUTICI S.P.A.;01/01/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D06BB03
ACICLINLABIALE;039105010;ACICLOVIR;"""50 MG/G CREMA"" TUBO DA 2 G";FIDIA FARMACEUTICI S.P.A.;15/11/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D06BB03
ACICLOVIR ALFASIGMA;034311074;ACICLOVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";ALFASIGMA S.P.A.;01/06/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ALFASIGMA;034311047;ACICLOVIR;"""8 % SOSPENSIONE ORALE"" FLACONE DA 100 ML";ALFASIGMA S.P.A.;01/06/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ALFASIGMA;034311023;ACICLOVIR;"""400 MG COMPRESSE"" 25 COMPRESSE";ALFASIGMA S.P.A.;01/06/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ALMUS;033868023;ACICLOVIR;"""400 MG/5 ML SOSPENSIONE ORALE"" 1 FLACONE DA 100 ML";ALMUS S.R.L.;30/11/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR AUROBINDO;036035032;ACICLOVIR;""" 400 MG/5 ML SOSPENSIONE ORALE "" FLACONE 100 ML";AUROBINDO PHARMA (ITALIA) S.R.L.;25/11/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR AUROBINDO;036035018;ACICLOVIR;""" 800 MG COMPRESSE "" 35 COMPRESSE";AUROBINDO PHARMA (ITALIA) S.R.L.;20/09/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR AUROBINDO PHARMA;046032049;ACICLOVIR;"""400 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;12/04/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR GIT;033429022;ACICLOVIR;"""8% SOSPENSIONE ORALE"" FLACONE DA 100 ML SOSPENSIONE ORALE";S.F. GROUP S.R.L.;26/10/2015;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR PENSA;034583031;ACICLOVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";Towa Pharmaceutical S.p.A.;01/05/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR PENSA;034583017;ACICLOVIR;"""5% CREMA PER USO CUTANEO"" TUBO 10 G";Towa Pharmaceutical S.p.A.;01/03/2025;30/09/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D06BB03
ACICLOVIR RECORDATI;033672027;ACICLOVIR;"""250 MG POLVERE PER SOLUZIONE PER INFUSIONE""5 FLACONI";RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.;17/09/2024;;S�;Cessata commercializzazione definitiva;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ZENTIVA;046277012;ACICLOVIR;"""200 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;08/12/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ZENTIVA;046277063;ACICLOVIR;"""800 MG COMPRESSE"" 35 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;28/02/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACICLOVIR ZENTIVA;046277036;ACICLOVIR;"""400 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;28/02/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J05AB01
ACIDO  IBANDRONICO PENSA;040833016;IBANDRONATO SODICO MONOIDRATO;""" 150 MG COMPRESSE RIVESTITE CON FILM "" 1 COMPRESSA IN BLISTER AL/AL";Towa Pharmaceutical S.p.A.;01/01/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO ACETILSALICILICO ANGELINI;030009017;ACIDO ACETILSALICILICO;"""500 MG COMPRESSE"" 20 COMPRESSE";AZIENDE CHIMICHE RIUNITE ANGELINI FRANCESCO A.C.R.A.F. S.P.A.;01/01/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;"canale retail: in cessata commercializzazione definitiva a partire dal 01/01/2023
canale ospedaliero: in cessata commercializzazione definitiva a partire dal 28/02/2026";A TOTALE CARICO DELL'ASSISTITO;N02BA01
ACIDO ACETILSALICILICO PANPHARMA;022620239;LISINA ACETILSALICILATO;"""1000 MG POLVERE PER SOLUZIONE ORALE"" 20 BUSTINE";PANMEDICA;11/01/2023;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N02BA01
ACIDO ACETILSALICILICO PANPHARMA;022620165;LISINA ACETILSALICILATO;"""500 mg/2,5 ml polvere e solvente  per  soluzione iniettabile� 6 flaconcini in vetro di polvere da 500 mg + 6 fiale  in vetro di solvente da 2,5 ml";PANMEDICA;26/10/2023;;No;"problemi produttivi: carenza sul canale retail; sul canale ospedaliero si garantiscono le forniture a seguito di gare aggiudicate";Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;N02BA01
ACIDO ACETILSALICILICO PANPHARMA;022620191;LISINA ACETILSALICILATO;"""1  g/5  ml  polvere  e  solvente  per  soluzione iniettabile� 6 flaconcini in vetro di polvere da 1 g  +  6  fiale  in vetro di solvente da 5 ml.";PANMEDICA;07/09/2022;;No;"problemi produttivi: carenza sul canale retail; sul canale ospedaliero si garantiscono le forniture a seguito di gare aggiudicate";Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;N02BA01
ACIDO ACETILSALICILICO ZENTIVA ITALIA;049648013;ACIDO ACETILSALICILICO;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;31/01/2024;;S�;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B01AC06
ACIDO ALENDRONICO E COLECALCIFEROLO AUROBINDO;044670014;ALENDRONATO SODICO TRIIDRATO + COLECALCIFEROLO;"""70 MG /2800 U. I. COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;31/01/2023;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO AUROBINDO;044670026;ALENDRONATO SODICO TRIIDRATO + COLECALCIFEROLO;"""70 MG /5600 U. I. COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;31/01/2023;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO EG;044731038;ACIDO ALENDRONICO + COLECALCIFEROLO;"""70 MG/5.600 UI COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC-AL";EG S.P.A.;01/11/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO EG;044731014;ACIDO ALENDRONICO + COLECALCIFEROLO;"""70 MG/2.800 UI COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC-AL";EG S.P.A.;15/12/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO ZENTIVA;044520029;ACIDO ALENDRONICO + COLECALCIFEROLO;"""70MG/2.800 UI COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC - AL";ZENTIVA ITALIA S.R.L.;24/10/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO ALENDRONICO E COLECALCIFEROLO ZENTIVA;044520056;ACIDO ALENDRONICO + COLECALCIFEROLO;"""70MG/5.600 UI COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC - AL";ZENTIVA ITALIA S.R.L.;24/10/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BB03
ACIDO BORICO AFOM;029964018;ACIDO BORICO;"""3% UNGUENTO"" TUBO 30 G";AEFFE FARMACEUTICI SRL;08/03/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AD
ACIDO BORICO ALMUS;031310028;ACIDO BORICO;"""3% UNGUENTO"" TUBO DA 30 G";ALMUS S.R.L.;01/02/2019;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AD
ACIDO BORICO MARCO VITI;030358028;ACIDO BORICO;UNGUENTO 3% 50 G;MARCO VITI FARMACEUTICI S.P.A.;08/04/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AD
ACIDO FOLICO EG;045545047;ACIDO FOLICO;"""5 MG COMPRESSE"" 120 COMPRESSE IN BLISTER PVC/PVDC/AL";EG S.P.A.;17/06/2024;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03BB01
ACIDO IBANDRONICO ACCORD;042505026;ACIDO IBANDRONICO;ACIDO IBANDRONICO ACCORD - 6 MG CONCENTTRATO PER SOLUZIONE PR INFUSIONE - USO ENDOVENOSO- FLACONCINO (VETRO) - 6 ML - 1 FLACONCINO;ACCORD HEALTHCARE, S.L.U.;16/08/2021;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;C NON NEGOZIATA;M05BA06
ACIDO IBANDRONICO EG;042063178;ACIDO IBANDRONICO;""" 150 MG COMPRESSE RIVESTITE CON FILM ""  1 COMPRESSA IN BLISTER PVC/PVDC/AL";EG S.P.A.;01/05/2025;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO MYLAN;040655019;IBANDRONATO SODICO MONOIDRATO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER OPA-AL-PVC/AL";MYLAN S.P.A.;09/12/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO TECNIGEN;042419034;ACIDO IBANDRONICO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER PVDC/PVC/AL";TECNIGEN S.R.L.;30/10/2024;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO TEVA;040366039;IBANDRONATO SODICO MONOIDRATO;""" 150 MG.-COMPRESSA RIVESTITA CON FILM-USO ORALE-BLISTER(PVC/ACLAR/PVC-ALU)"" 1 COMPRESSA";TEVA B.V.;09/04/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO IBANDRONICO ZENTIVA;040007041;ACIDO IBANDRONICO;"""150 MG COMPRESSE RIVESTITE CON FILM"" 1 COMPRESSA IN BLISTER PVC/PVDC/AL";ZENTIVA ITALIA S.R.L.;30/11/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA06
ACIDO MICOFENOLICO ACCORD;043305061;ACIDO MICOFENOLICO;"""360 MG COMPRESSE GASTRORESISTENTI"" 50 COMPRESSE IN BLISTER AL/AL";ACCORD HEALTHCARE BV;17/01/2022;;S�;Problemi produttivi;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;L04AA06
ACIDO MICOFENOLICO ACCORD;043305034;ACIDO MICOFENOLICO;"""180 MG COMPRESSE GASTRORESISTENTI"" 100 COMPRESSE IN BLISTER AL/AL";ACCORD HEALTHCARE BV;29/01/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L04AA06
ACIDO SALICILICO NA;030578013;ACIDO SALICILICO;"""2% UNGUENTO"" TUBO 30 G";INDUSTRIA FARMACEUTICA NOVA ARGENTIA S.R.L.;30/11/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D11AF
ACIDO SALICILICO NA;030578037;ACIDO SALICILICO;"""10% UNGUENTO"" TUBO 30 G";INDUSTRIA FARMACEUTICA NOVA ARGENTIA S.R.L.;28/06/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D11AF
ACIDO TRANEXAMICO AUROBINDO;044760039;ACIDO TRANEXAMICO;"""100 MG/ML SOLUZIONE INIETTABILE"" 6 FIALE IN VETRO DA 5 ML";Eugia Pharma (Malta) Limited;17/10/2022;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02AA02
ACIDO TRICLOROACETICO ZETA;031296015;ACIDO TRICLORACETICO;"""50% SOLUZIONE CUTANEA"" FLACONE DA 10 ML";ZETA FARMACEUTICI S.P.A.;20/05/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D11AF
ACIDO URSODESOSSICOLICO EG STADA;024615080;ACIDO URSODESOSSICOLICO;"""300 MG COMPRESSE""20 COMPRESSE";EG S.P.A.;01/09/2020;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A05AA02
ACIDO URSODESOSSICOLICO EG STADA;024615092;ACIDO URSODESOSSICOLICO;"""450 MG CAPSULE RIGIDE A RILASCIO PROLUNGATO"" 20 CAPSULE";EG S.P.A.;30/04/2015;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A05AA02
ACIDO URSODESOSSICOLICO EG STADA;024615078;ACIDO URSODESOSSICOLICO;"""150 MG COMPRESSE""20 COMPRESSE";EG S.P.A.;01/04/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A05AA02
